,Dog Breed
320,parson-russell-terrier
321,pekinese
322,pekinese
323,pudel
324,pudel
325,rauhhaardackel (zwergdackel)
326,rhodesian ridgeback
327,rottweiler
328,rottweiler
329,schnauzer
330,schnauzer
331,shar pei
332,sheltie
333,shiba inu
334,shih tzu
335,shih tzu
336,siberian husky
337,siberian husky
338,spitz
339,staffordshire-bullterrier
340,staffordshire-bullterrier
341,tibet-terrier
342,weimaraner
343,weißer schweizer schäferhund
344,west highland white terrier
345,whippet
346,yorkshire terrier
347,yorkshire terrier
348,zwergpinscher
349,zwergpinscher
350,zwergpudel
351,zwergschnauzer
352,zwergspitz
353,zwergspitz
354,österreichischer pinscher
355,airedale-terrier
356,amerikanischer cockerspaniel
357,amerikanischer pit-bullterrier
358,amerikanischer pit-bullterrier
359,amerikanischer staffordshire-terrier
360,amerikanischer staffordshire-terrier
361,australian shepherd dog
362,beagle
363,belgischer schäferhund
364,berner sennenhund
365,berner sennenhund
366,border-collie
367,border-collie
368,boxer
369,bracke
370,bulldog
371,bullterrier
372,cavalier king charles spaniel
373,chihuahua kurzhaariger schlag
374,chihuahua kurzhaariger schlag
375,chihuahua langhaariger schlag
376,cocker spaniel
377,collie
378,dackel
379,dackel
380,deutsch kurzhaar
381,deutscher schäferhund
382,deutscher schäferhund
383,dobermann
384,dogo argentino
385,drahthaar-foxterrier
386,englischer cockerspaniel
387,englischer cockerspaniel
388,französische bulldogge
389,golden retriever
390,golden retriever
391,havaneser
392,havaneser
393,jack-russell-terrier
394,jack-russell-terrier
395,labrador retriever
396,labrador retriever
397,langhaardackel
398,magyar vizsla
399,malinois
400,malteser
401,malteser
402,mops
403,papillon
404,parson-russell-terrier
405,pekinese
406,pekinese
407,pudel
408,pudel
409,rauhhaardackel (zwergdackel)
410,rhodesian ridgeback
411,rottweiler
412,rottweiler
413,schnauzer
414,schnauzer
415,shar pei
416,sheltie
417,shih tzu
418,siberian husky
419,siberian husky
420,spitz
421,staffordshire-bullterrier
422,staffordshire-bullterrier
423,tibet-terrier
424,west highland white terrier
425,whippet
426,yorkshire terrier
427,yorkshire terrier
