Dog Breed,Min Height,Max Height
Golden Retriever,51,61
Gonczy Polski,50,56
Gordon Setter,58,69
Gos d'Atura Catala,42,48
Grand Basset Griffon Vendeen,40,44
Grand gascon saintongeois,65,72
Great Dane,71,86
Greyhound,68,76
Griffon Belge,18,20
Griffon bleu de Gascogne,50,57
Griffon bleue de Gascogne,48,57
Griffon Bruxellois,18,20
Griffon fauve de Bretagne,48,56
Griffon Korthals,50,60
Griffon Nivernais,55,60
Groenendaeler,60,62
Grönlandhund,55,60
Großer Münsterländer,58,65
Grosser Schweizer Sennenhund,65,72
Großpudel,45,60
Grosspudel Apricot,45,62
Grosspudel Braun,45,62
Grosspudel Falb,45,62
Grosspudel falb aus Mehrfarben,45,62
Grosspudel Grau,45,62
Grosspudel Rot,45,62
Grosspudel Schwarz,45,62
Grosspudel schwarz aus Mehrfarben,45,62
Grosspudel Weiss,45,62
Grossspitz Braun/Schwarz,42,50
Grossspitz Weiss,42,50
Haldenstöver,50,60
Hannoverscher Schweisshund,50,55
Harrier,48,55
Harzer Fuchs,50,60
Havaneser,23,27
Hellinikos Ichnilatis,47,55
Hokkaido,46,52
Holländischer Schäferhund Kurzhaar,55,62
Holländischer Schäferhund Langhaar,55,62
Holländischer Schäferhund Rauhhaar,55,62
Hollandse Herdershond,55,62
Hollandse Smoushond,35,42
Hovawart,58,70
Hrvatski Ovcar,40,50
Husky,51,60
Ibizan Hound,56,74
Inka Nackthund,25,60
Irischer Rot-Weißer Setter,57,66
Irischer Wolfshund,71,90
Irish Glen of Imaal Terrier,32,36
Irish Red and White Setter,55,61
Irish red-and-white Setter,57,61
Irish Setter,58,67
Irish Soft Coated Wheaten Terrier,46,48
Irish Terrier,45,48
Isländer Spitz,38,46
Islandhund,42,48
Istrianer Bracke Kurzhaar (Kratkodlaki Gonic),44,56
Istrianer Bracke Rauhhaar (Ostrodlaki Gonic),44,56
Istrianer Rauhhaarige Bracke,46,58
Italian Greyhound,32,38
Italienisches Windspiel,32,38
Jack Russell Terrier,25,38
Jagdterrier,33,40
Jämthund,57,65
Japan-Chin,20,27
Japanischer Spitz,30,37
Jura Laufhund,43,58
Kai,45,55
Kanarische Dogge,60,65
Kangal,70,81
Kangal-Hirtenhund,63,80
Kaukasischer Ovtcharka,64,75
Kerry Blue Terrier,44,48
King Charles Spaniel,30,33
Klein- oder Mittelpudel,28,45
Kleinpudel,35,45
Kleinpudel falb aus Mehrfarben,28,35
Kleinpudel schwarz aus Mehrfarben,28,35
Kleinspitz Braun/Schwarz,23,29
Kleinspitz Neufarben,23,29
Kleinspitz Weiss,23,29
Komondor,65,80
Kooikerhond,35,40
Kooikerhondje,35,40
Korea Jindo Dog,45,55
Krazski Ovcar,54,63
Kromfohrländer,38,46
Kurzhaar Dachshund Kaninchen,12,15
Kurzhaar Dachshund Normal,20,27
Kurzhaar Dachshund Zwerg,16,21
Kurzhaardackel,20,27
Kurzhaariger Collie,51,61
Kuvasz,66,76
Labradoodle,53,61
Labrador Retriever,55,62
Laekenois,60,65
Lagotto Romagnolo,41,48
Lakeland Terrier,33,38
Lakeland-Terrier,33,38
Lancashire Heeler,25,30
Lancashire-Heeler,25,30
Landseer,72,80
Langhaar Dachshund Kaninchen,12,15
Langhaar Dachshund Normal,20,27
Langhaar Dachshund Zwerg,16,21
Langhaardackel,20,27
Lapinporokoira,43,49
Lappländer Rentierhund,45,55
Leonberger,65,80
Lhasa Apso,25,28
Löwchen,25,33
Lurcher,56,71
Luzerner Laufhund,47,59
Magyar Agar,62,70
Magyar Vizsla,53,64
Malinois,56,66
Maltese,20,25
Malteser,20,25
Manchester Terrier,35,41
Maremmaner Hirtenhund,60,73
Maremmano - Abruzzese,60,73
Mastiff,70,91
Mastin espanol,72,88
Mastino Napoletano,60,75
Mehrfarben Grosspudel schwarz loh,45,62
Mehrfarben Grosspudel schwarz weiss,45,62
Mehrfarben Kleinpudel schwarz loh,35,45
Mehrfarben Kleinpudel schwarz weiss,35,45
Mehrfarben Toypudel schwarz weiss,24,28
Mehrfarben Zwergpudel schwarz loh,28,35
Mehrfarben Zwergpudel schwarz weiss,28,35
Mehrfarbenpudel schwarz-loh,35,45
Mexikanischer Nackthund,25,60
Miniatur Bull Terrier,25,35
Miniature Australian Shepherd,33,46
Miniature Pinscher,25,30
Mittelspitz,30,38
Mittelspitz Braun/Schwarz,30,38
Mittelspitz Neufarben,30,38
Mittelspitz Weiss,30,38
Mops,25,36
Mops (Carlin),25,30
Mudi,38,47
Neufundländer,63,74
Newfoundland,63,74
Norbottenspets,41,45
Norfolk Terrier,25,26
Norfolk-Terrier,23,25
Norsk Buhund,41,47
Norsk Elghund Grä,49,52
Norsk Lundehund,32,38
Norwegischer Buhund,41,47
Norwegischer Elchhund,45,52
Norwegischer Lundehund,32,38
Nova Scotia Duck Tolling Retriever,45,54
Ogar Polski,56,65
Old English Sheepdog,55,61
Old English Sheepdog (Bobtail),55,61
Österreichischer Pinscher,35,50
Otterhound,61,69
Papillon,20,28
Pekinese,15,23
Pekingese,15,23
Perdigueiro de Burgos,59,67
Perdigueiro Portugues,48,57
Perdiguero de Burgos,59,67
Perro de Agua Espanol,40,50
Perro dogo mallorquin,52,58
Perro sin pelo del Peru (Grande),50,65
Perro sin pelo del Peru (Medio),40,50
Perro sin pelo del Peru (Pequeno),25,40
Peruanische Nackthund,25,60
Petit Basset Griffon Vendeen,32,40
Petit Bleu de Gascogne,50,58
Petit brabancon,25,30
Phalene,20,28
Pharaoh Hound,53,63
Pharaonenhund,53,63
Pinscher,25,30
Podenco Ibicenco,56,74
Podenco Ibicenco Kurzhaar,60,72
Podenco Ibicenco Rauhhaar,60,72
Podengo Portugues Kurzhaar Medio,40,54
Podengo Portugues Kurzhaar Pequeno,20,30
Podengo Portugues Rauhhaar Medio,40,54
Podengo Portugues Rauhhaar Pequeno,20,30
Podengo Portugueso Medio,40,54
Podengo Portugueso Pequeno,20,30
Podhalenhund,61,70
Pointer,61,69
Poitevin,60,72
Polnischer Berghund,65,70
Polnischer Niederungshütehund,42,50
Polski Owczarek Nizinny,42,52
Polski Owczarek Podhalanski,60,70
Pomsky,20,40
Porcelaine,55,58
Posavski Gonic,46,58
Prager Rattler,20,23
Pudelpointer,55,66
Puli,36,44
Puli andersfarbig,36,44
Puli weiss,36,44
Pumi,38,47
Pyrenäenberghund,65,82
Rafeiro do Alentejo,64,74
Ratero,20,30
Rauhhaar Dachshund Kaninchen,12,15
Rauhhaar Dachshund Normal,20,27
Rauhhaar Dachshund Zwerg,16,21
Rauhhaardackel (Zwergdackel),14,21
Rhodesian Ridgeback,61,69
Riesenschnauzer,60,70
Riesenschnauzer pfeffer-salz,60,70
Riesenschnauzer schwarz,60,70
Rottweiler,56,69
Russisch-Europäischer Laika,52,58
Russkiy Toy,20,28
