Anzahl der Hunde (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Number of dogs (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;DOG_VALUE;DOG_DENSITY;;;;;;;;;;
AT13;92100;92100;2015;20150101; 7.031 ; 46,30 ;;;;;;;;;;
AT13;92200;92200;2015;20150101; 8.201 ; 47,41 ;;;;;;;;;;
AT13;92300;92300;2015;20150101; 4.134 ; 42,72 ;;;;;;;;;;
AT13;90000;90000;2016;20160901; 55.800 ; 30,32 ;;;;;;;;;;
AT13;90100;90100;2016;20160901; 454 ; 27,66 ;;;;;;;;;;
AT13;90200;90200;2016;20160901; 2.538 ; 24,59 ;;;;;;;;;;
AT13;90300;90300;2016;20160901; 2.081 ; 23,17 ;;;;;;;;;;
AT13;90400;90400;2016;20160901; 618 ; 18,87 ;;;;;;;;;;
AT13;90500;90500;2016;20160901; 979 ; 17,82 ;;;;;;;;;;
AT13;90600;90600;2016;20160901; 658 ; 20,81 ;;;;;;;;;;
AT13;90700;90700;2016;20160901; 612 ; 19,11 ;;;;;;;;;;
AT13;90800;90800;2016;20160901; 453 ; 18,08 ;;;;;;;;;;
AT13;90900;90900;2016;20160901; 850 ; 19,72 ;;;;;;;;;;
AT13;91000;91000;2016;20160901; 5.340 ; 27,42 ;;;;;;;;;;
AT13;91100;91100;2016;20160901; 3.553 ; 36,50 ;;;;;;;;;;
AT13;91200;91200;2016;20160901; 2.318 ; 24,62 ;;;;;;;;;;
AT13;91300;91300;2016;20160901; 1.986 ; 36,91 ;;;;;;;;;;
AT13;91400;91400;2016;20160901; 2.826 ; 30,85 ;;;;;;;;;;
AT13;91500;91500;2016;20160901; 1.357 ; 17,32 ;;;;;;;;;;
AT13;91600;91600;2016;20160901; 2.105 ; 20,52 ;;;;;;;;;;
AT13;91700;91700;2016;20160901; 1.431 ; 25,40 ;;;;;;;;;;
AT13;91800;91800;2016;20160901; 1.319 ; 26,23 ;;;;;;;;;;
AT13;91900;91900;2016;20160901; 2.718 ; 37,96 ;;;;;;;;;;
AT13;92000;92000;2016;20160901; 1.911 ; 22,27 ;;;;;;;;;;
AT13;92100;92100;2016;20160901; 7.101 ; 45,52 ;;;;;;;;;;
AT13;92200;92200;2016;20160901; 8.475 ; 47,01 ;;;;;;;;;;
AT13;92300;92300;2016;20160901; 4.117 ; 41,84 ;;;;;;;;;;
AT13;90000;90000;2017;20170901; 55.705 ; 29,83 ;;;;;;;;;;
AT13;90100;90100;2017;20170901; 474 ; 28,79 ;;;;;;;;;;
AT13;90200;90200;2017;20170901; 2.507 ; 23,88 ;;;;;;;;;;
AT13;90300;90300;2017;20170901; 2.114 ; 23,44 ;;;;;;;;;;
AT13;90400;90400;2017;20170901; 618 ; 18,71 ;;;;;;;;;;
AT13;90500;90500;2017;20170901; 969 ; 17,50 ;;;;;;;;;;
AT13;90600;90600;2017;20170901; 646 ; 20,27 ;;;;;;;;;;
AT13;90700;90700;2017;20170901; 610 ; 18,95 ;;;;;;;;;;
AT13;90800;90800;2017;20170901; 459 ; 17,98 ;;;;;;;;;;
AT13;90900;90900;2017;20170901; 854 ; 20,00 ;;;;;;;;;;
AT13;91000;91000;2017;20170901; 5.268 ; 26,59 ;;;;;;;;;;
AT13;91100;91100;2017;20170901; 3.545 ; 35,40 ;;;;;;;;;;
AT13;91200;91200;2017;20170901; 2.339 ; 24,38 ;;;;;;;;;;
AT13;91300;91300;2017;20170901; 1.980 ; 36,55 ;;;;;;;;;;
AT13;91400;91400;2017;20170901; 2.816 ; 30,50 ;;;;;;;;;;
AT13;91500;91500;2017;20170901; 1.326 ; 16,79 ;;;;;;;;;;
AT13;91600;91600;2017;20170901; 2.040 ; 19,55 ;;;;;;;;;;
AT13;91700;91700;2017;20170901; 1.399 ; 24,47 ;;;;;;;;;;
AT13;91800;91800;2017;20170901; 1.300 ; 25,43 ;;;;;;;;;;
AT13;91900;91900;2017;20170901; 2.721 ; 37,74 ;;;;;;;;;;
AT13;92000;92000;2017;20170901; 1.931 ; 22,23 ;;;;;;;;;;
AT13;92100;92100;2017;20170901; 7.131 ; 44,93 ;;;;;;;;;;
AT13;92200;92200;2017;20170901; 8.518 ; 46,25 ;;;;;;;;;;
AT13;92300;92300;2017;20170901; 4.140 ; 40,97 ;;;;;;;;;;
AT13;90000;90000;2018;20180901; 55.099 ; 29,17 ;;;;;;;;;;
AT13;90100;90100;2018;20180901; 463 ; 28,15 ;;;;;;;;;;
AT13;90200;90200;2018;20180901; 2.472 ; 23,41 ;;;;;;;;;;
AT13;90300;90300;2018;20180901; 2.093 ; 23,07 ;;;;;;;;;;
AT13;90400;90400;2018;20180901; 644 ; 19,33 ;;;;;;;;;;
AT13;90500;90500;2018;20180901; 946 ; 17,00 ;;;;;;;;;;
AT13;90600;90600;2018;20180901; 615 ; 19,18 ;;;;;;;;;;
AT13;90700;90700;2018;20180901; 577 ; 17,77 ;;;;;;;;;;
AT13;90800;90800;2018;20180901; 453 ; 17,65 ;;;;;;;;;;
AT13;90900;90900;2018;20180901; 813 ; 19,11 ;;;;;;;;;;
AT13;91000;91000;2018;20180901; 5.166 ; 25,59 ;;;;;;;;;;
AT13;91100;91100;2018;20180901; 3.453 ; 34,05 ;;;;;;;;;;
AT13;91200;91200;2018;20180901; 2.348 ; 24,05 ;;;;;;;;;;
AT13;91300;91300;2018;20180901; 1.980 ; 36,49 ;;;;;;;;;;
AT13;91400;91400;2018;20180901; 2.796 ; 30,14 ;;;;;;;;;;
AT13;91500;91500;2018;20180901; 1.300 ; 16,45 ;;;;;;;;;;
AT13;91600;91600;2018;20180901; 1.987 ; 18,99 ;;;;;;;;;;
AT13;91700;91700;2018;20180901; 1.381 ; 24,00 ;;;;;;;;;;
AT13;91800;91800;2018;20180901; 1.278 ; 24,74 ;;;;;;;;;;
AT13;91900;91900;2018;20180901; 2.667 ; 36,71 ;;;;;;;;;;
AT13;92000;92000;2018;20180901; 1.865 ; 21,38 ;;;;;;;;;;
AT13;92100;92100;2018;20180901; 7.147 ; 43,91 ;;;;;;;;;;
AT13;92200;92200;2018;20180901; 8.523 ; 45,58 ;;;;;;;;;;
AT13;92300;92300;2018;20180901; 4.132 ; 39,78 ;;;;;;;;;;
AT13;90000;90000;2019;20190901; 55.604 ; 29,30 ;;;;;;;;;;
AT13;90100;90100;2019;20190901; 474 ; 29,07 ;;;;;;;;;;
AT13;90200;90200;2019;20190901; 2.490 ; 23,73 ;;;;;;;;;;
AT13;90300;90300;2019;20190901; 2.156 ; 23,50 ;;;;;;;;;;
AT13;90400;90400;2019;20190901; 658 ; 19,78 ;;;;;;;;;;
AT13;90500;90500;2019;20190901; 952 ; 17,18 ;;;;;;;;;;
AT13;90600;90600;2019;20190901; 649 ; 20,37 ;;;;;;;;;;
AT13;90700;90700;2019;20190901; 578 ; 17,90 ;;;;;;;;;;
AT13;90800;90800;2019;20190901; 484 ; 19,01 ;;;;;;;;;;
AT13;90900;90900;2019;20190901; 873 ; 20,81 ;;;;;;;;;;
AT13;91000;91000;2019;20190901; 5.138 ; 25,17 ;;;;;;;;;;
AT13;91100;91100;2019;20190901; 3.489 ; 33,87 ;;;;;;;;;;
AT13;91200;91200;2019;20190901; 2.388 ; 24,46 ;;;;;;;;;;
AT13;91300;91300;2019;20190901; 1.996 ; 37,12 ;;;;;;;;;;
AT13;91400;91400;2019;20190901; 2.822 ; 30,35 ;;;;;;;;;;
AT13;91500;91500;2019;20190901; 1.315 ; 16,94 ;;;;;;;;;;
AT13;91600;91600;2019;20190901; 2.004 ; 19,31 ;;;;;;;;;;
AT13;91700;91700;2019;20190901; 1.393 ; 24,31 ;;;;;;;;;;
AT13;91800;91800;2019;20190901; 1.321 ; 25,61 ;;;;;;;;;;
AT13;91900;91900;2019;20190901; 2.646 ; 36,27 ;;;;;;;;;;
AT13;92000;92000;2019;20190901; 1.878 ; 21,71 ;;;;;;;;;;
AT13;92100;92100;2019;20190901; 7.131 ; 43,04 ;;;;;;;;;;
AT13;92200;92200;2019;20190901; 8.567 ; 44,85 ;;;;;;;;;;
AT13;92300;92300;2019;20190901; 4.202 ; 39,54 ;;;;;;;;;;
AT13;90000;90000;2020;20200901; 55.649 ; 29,12 ;;;;;;;;;;
AT13;90100;90100;2020;20200901; 483 ; 30,10 ;;;;;;;;;;
AT13;90200;90200;2020;20200901; 2.510 ; 23,71 ;;;;;;;;;;
AT13;90300;90300;2020;20200901; 2.174 ; 23,71 ;;;;;;;;;;
AT13;90400;90400;2020;20200901; 654 ; 19,69 ;;;;;;;;;;
AT13;90500;90500;2020;20200901; 931 ; 16,89 ;;;;;;;;;;
AT13;90600;90600;2020;20200901; 639 ; 20,19 ;;;;;;;;;;
AT13;90700;90700;2020;20200901; 580 ; 18,15 ;;;;;;;;;;
AT13;90800;90800;2020;20200901; 481 ; 19,22 ;;;;;;;;;;
AT13;90900;90900;2020;20200901; 891 ; 21,27 ;;;;;;;;;;
AT13;91000;91000;2020;20200901; 5.118 ; 24,70 ;;;;;;;;;;
AT13;91100;91100;2020;20200901; 3.457 ; 33,10 ;;;;;;;;;;
AT13;91200;91200;2020;20200901; 2.331 ; 24,01 ;;;;;;;;;;
AT13;91300;91300;2020;20200901; 1.999 ; 36,99 ;;;;;;;;;;
AT13;91400;91400;2020;20200901; 2.867 ; 30,62 ;;;;;;;;;;
AT13;91500;91500;2020;20200901; 1.321 ; 17,20 ;;;;;;;;;;
AT13;91600;91600;2020;20200901; 2.020 ; 19,59 ;;;;;;;;;;
AT13;91700;91700;2020;20200901; 1.372 ; 24,06 ;;;;;;;;;;
AT13;91800;91800;2020;20200901; 1.354 ; 26,29 ;;;;;;;;;;
AT13;91900;91900;2020;20200901; 2.656 ; 35,94 ;;;;;;;;;;
AT13;92000;92000;2020;20200901; 1.780 ; 20,61 ;;;;;;;;;;
AT13;92100;92100;2020;20200901; 7.106 ; 42,31 ;;;;;;;;;;
AT13;92200;92200;2020;20200901; 8.622 ; 44,16 ;;;;;;;;;;
AT13;92300;92300;2020;20200901; 4.303 ; 38,95 ;;;;;;;;;;
AT13;90000;90000;2021;20210901; 56.701 ; 29,52 ;;;;;;;;;;
AT13;90100;90100;2021;20210901; 488 ; 30,76 ;;;;;;;;;;
AT13;90200;90200;2021;20210901; 2.596 ; 24,67 ;;;;;;;;;;
AT13;90300;90300;2021;20210901; 2.281 ; 24,46 ;;;;;;;;;;
AT13;90400;90400;2021;20210901; 690 ; 20,86 ;;;;;;;;;;
AT13;90500;90500;2021;20210901; 935 ; 17,20 ;;;;;;;;;;
AT13;90600;90600;2021;20210901; 602 ; 19,21 ;;;;;;;;;;
AT13;90700;90700;2021;20210901; 610 ; 19,25 ;;;;;;;;;;
AT13;90800;90800;2021;20210901; 487 ; 19,99 ;;;;;;;;;;
AT13;90900;90900;2021;20210901; 927 ; 22,17 ;;;;;;;;;;
AT13;91000;91000;2021;20210901; 5.128 ; 24,35 ;;;;;;;;;;
AT13;91100;91100;2021;20210901; 3.443 ; 32,78 ;;;;;;;;;;
AT13;91200;91200;2021;20210901; 2.379 ; 24,53 ;;;;;;;;;;
AT13;91300;91300;2021;20210901; 2.009 ; 37,27 ;;;;;;;;;;
AT13;91400;91400;2021;20210901; 2.927 ; 31,35 ;;;;;;;;;;
AT13;91500;91500;2021;20210901; 1.366 ; 17,94 ;;;;;;;;;;
AT13;91600;91600;2021;20210901; 2.027 ; 19,78 ;;;;;;;;;;
AT13;91700;91700;2021;20210901; 1.395 ; 24,70 ;;;;;;;;;;
AT13;91800;91800;2021;20210901; 1.424 ; 27,74 ;;;;;;;;;;
AT13;91900;91900;2021;20210901; 2.712 ; 36,72 ;;;;;;;;;;
AT13;92000;92000;2021;20210901; 1.810 ; 21,23 ;;;;;;;;;;
AT13;92100;92100;2021;20210901; 7.274 ; 41,82 ;;;;;;;;;;
AT13;92200;92200;2021;20210901; 8.796 ; 44,24 ;;;;;;;;;;
AT13;92300;92300;2021;20210901; 4.395 ; 39,31 ;;;;;;;;;;
AT13;90000;90000;2022;20220901; 56.792 ; 29,40 ;;;;;;;;;;
AT13;90100;90100;2022;20220901; 479 ; 30,51 ;;;;;;;;;;
AT13;90200;90200;2022;20220901; 2.573 ; 24,58 ;;;;;;;;;;
AT13;90300;90300;2022;20220901; 2.335 ; 24,91 ;;;;;;;;;;
AT13;90400;90400;2022;20220901; 689 ; 20,87 ;;;;;;;;;;
AT13;90500;90500;2022;20220901; 939 ; 17,48 ;;;;;;;;;;
AT13;90600;90600;2022;20220901; 601 ; 19,41 ;;;;;;;;;;
AT13;90700;90700;2022;20220901; 606 ; 19,34 ;;;;;;;;;;
AT13;90800;90800;2022;20220901; 504 ; 20,84 ;;;;;;;;;;
AT13;90900;90900;2022;20220901; 945 ; 22,84 ;;;;;;;;;;
AT13;91000;91000;2022;20220901; 5.035 ; 23,72 ;;;;;;;;;;
AT13;91100;91100;2022;20220901; 3.394 ; 32,00 ;;;;;;;;;;
AT13;91200;91200;2022;20220901; 2.333 ; 23,83 ;;;;;;;;;;
AT13;91300;91300;2022;20220901; 2.023 ; 37,49 ;;;;;;;;;;
AT13;91400;91400;2022;20220901; 2.991 ; 32,17 ;;;;;;;;;;
AT13;91500;91500;2022;20220901; 1.372 ; 18,14 ;;;;;;;;;;
AT13;91600;91600;2022;20220901; 1.998 ; 19,66 ;;;;;;;;;;
AT13;91700;91700;2022;20220901; 1.404 ; 25,07 ;;;;;;;;;;
AT13;91800;91800;2022;20220901; 1.461 ; 28,72 ;;;;;;;;;;
AT13;91900;91900;2022;20220901; 2.707 ; 36,64 ;;;;;;;;;;
AT13;92000;92000;2022;20220901; 1.764 ; 20,88 ;;;;;;;;;;
AT13;92100;92100;2022;20220901; 7.271 ; 40,81 ;;;;;;;;;;
AT13;92200;92200;2022;20220901; 8.956 ; 43,94 ;;;;;;;;;;
AT13;92300;92300;2022;20220901; 4.412 ; 38,31 ;;;;;;;;;;
AT13;90000;90000;2023;20230901; 57.901 ; 29,21 ;;;;;;;;;;
AT13;90100;90100;2023;20230901; 497 ; 29,90 ;;;;;;;;;;
AT13;90200;90200;2023;20230901; 2.659 ; 24,56 ;;;;;;;;;;
AT13;90300;90300;2023;20230901; 2.463 ; 25,46 ;;;;;;;;;;
AT13;90400;90400;2023;20230901; 711 ; 21,14 ;;;;;;;;;;
AT13;90500;90500;2023;20230901; 948 ; 17,23 ;;;;;;;;;;
AT13;90600;90600;2023;20230901; 619 ; 19,70 ;;;;;;;;;;
AT13;90700;90700;2023;20230901; 641 ; 20,30 ;;;;;;;;;;
AT13;90800;90800;2023;20230901; 512 ; 20,75 ;;;;;;;;;;
AT13;90900;90900;2023;20230901; 974 ; 23,08 ;;;;;;;;;;
AT13;91000;91000;2023;20230901; 5.162 ; 23,63 ;;;;;;;;;;
AT13;91100;91100;2023;20230901; 3.356 ; 30,78 ;;;;;;;;;;
AT13;91200;91200;2023;20230901; 2.316 ; 23,10 ;;;;;;;;;;
AT13;91300;91300;2023;20230901; 2.075 ; 37,34 ;;;;;;;;;;
AT13;91400;91400;2023;20230901; 3.062 ; 31,62 ;;;;;;;;;;
AT13;91500;91500;2023;20230901; 1.383 ; 18,17 ;;;;;;;;;;
AT13;91600;91600;2023;20230901; 2.024 ; 19,76 ;;;;;;;;;;
AT13;91700;91700;2023;20230901; 1.423 ; 25,40 ;;;;;;;;;;
AT13;91800;91800;2023;20230901; 1.511 ; 29,31 ;;;;;;;;;;
AT13;91900;91900;2023;20230901; 2.763 ; 36,59 ;;;;;;;;;;
AT13;92000;92000;2023;20230901; 1.767 ; 20,62 ;;;;;;;;;;
AT13;92100;92100;2023;20230901; 7.340 ; 39,91 ;;;;;;;;;;
AT13;92200;92200;2023;20230901; 9.170 ; 43,12 ;;;;;;;;;;
AT13;92300;92300;2023;20230901; 4.525 ; 38,39 ;;;;;;;;;;
