Anzahl der Hunde (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Number of dogs (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;DOG_VALUE;DOG_DENSITY;;;;;;;;;;
AT13;90200;90200;2005;20050101; 2.360 ; 25,83 ;;;;;;;;;;
AT13;90300;90300;2005;20050101; 1.932 ; 23,05 ;;;;;;;;;;
AT13;90400;90400;2005;20050101; 614 ; 20,76 ;;;;;;;;;;
AT13;90500;90500;2005;20050101; 939 ; 18,10 ;;;;;;;;;;
AT13;90600;90600;2005;20050101; 614 ; 21,16 ;;;;;;;;;;
AT13;90700;90700;2005;20050101; 553 ; 18,96 ;;;;;;;;;;
AT13;90800;90800;2005;20050101; 488 ; 20,69 ;;;;;;;;;;
AT13;90900;90900;2005;20050101; 842 ; 21,33 ;;;;;;;;;;
AT13;91000;91000;2005;20050101; 4.630 ; 28,28 ;;;;;;;;;;
AT13;91100;91100;2005;20050101; 3.022 ; 36,66 ;;;;;;;;;;
AT13;91200;91200;2005;20050101; 2.334 ; 28,00 ;;;;;;;;;;
AT13;91300;91300;2005;20050101; 1.926 ; 37,53 ;;;;;;;;;;
AT13;91400;91400;2005;20050101; 2.671 ; 32,66 ;;;;;;;;;;
AT13;91500;91500;2005;20050101; 1.272 ; 18,31 ;;;;;;;;;;
AT13;91600;91600;2005;20050101; 2.019 ; 21,95 ;;;;;;;;;;
AT13;91700;91700;2005;20050101; 1.353 ; 26,37 ;;;;;;;;;;
AT13;91800;91800;2005;20050101; 1.368 ; 29,16 ;;;;;;;;;;
AT13;91900;91900;2005;20050101; 2.538 ; 37,94 ;;;;;;;;;;
AT13;92000;92000;2005;20050101; 1.955 ; 24,21 ;;;;;;;;;;
AT13;92100;92100;2005;20050101; 5.949 ; 44,10 ;;;;;;;;;;
AT13;92200;92200;2005;20050101; 6.360 ; 43,92 ;;;;;;;;;;
AT13;92300;92300;2005;20050101; 3.601 ; 41,05 ;;;;;;;;;;
AT13;90000;90000;2006;20060101; 50.282 ; 30,43 ;;;;;;;;;;
AT13;90100;90100;2006;20060101; 517 ; 29,91 ;;;;;;;;;;
AT13;90200;90200;2006;20060101; 2.368 ; 25,69 ;;;;;;;;;;
AT13;90300;90300;2006;20060101; 1.935 ; 22,98 ;;;;;;;;;;
AT13;90400;90400;2006;20060101; 625 ; 20,75 ;;;;;;;;;;
AT13;90500;90500;2006;20060101; 940 ; 17,89 ;;;;;;;;;;
AT13;90600;90600;2006;20060101; 602 ; 20,50 ;;;;;;;;;;
AT13;90700;90700;2006;20060101; 558 ; 18,35 ;;;;;;;;;;
AT13;90800;90800;2006;20060101; 469 ; 19,88 ;;;;;;;;;;
AT13;90900;90900;2006;20060101; 852 ; 21,70 ;;;;;;;;;;
AT13;91000;91000;2006;20060101; 4.731 ; 28,29 ;;;;;;;;;;
AT13;91100;91100;2006;20060101; 3.074 ; 37,16 ;;;;;;;;;;
AT13;91200;91200;2006;20060101; 2.345 ; 27,84 ;;;;;;;;;;
AT13;91300;91300;2006;20060101; 1.978 ; 38,52 ;;;;;;;;;;
AT13;91400;91400;2006;20060101; 2.663 ; 32,15 ;;;;;;;;;;
AT13;91500;91500;2006;20060101; 1.305 ; 18,58 ;;;;;;;;;;
AT13;91600;91600;2006;20060101; 2.015 ; 21,48 ;;;;;;;;;;
AT13;91700;91700;2006;20060101; 1.345 ; 25,63 ;;;;;;;;;;
AT13;91800;91800;2006;20060101; 1.397 ; 29,54 ;;;;;;;;;;
AT13;91900;91900;2006;20060101; 2.549 ; 37,83 ;;;;;;;;;;
AT13;92000;92000;2006;20060101; 1.910 ; 23,50 ;;;;;;;;;;
AT13;92100;92100;2006;20060101; 5.931 ; 43,41 ;;;;;;;;;;
AT13;92200;92200;2006;20060101; 6.522 ; 44,40 ;;;;;;;;;;
AT13;92300;92300;2006;20060101; 3.651 ; 40,99 ;;;;;;;;;;
AT13;90000;90000;2007;20070101; 51.149 ; 30,79 ;;;;;;;;;;
AT13;90100;90100;2007;20070101; 522 ; 30,44 ;;;;;;;;;;
AT13;90200;90200;2007;20070101; 2.354 ; 25,23 ;;;;;;;;;;
AT13;90300;90300;2007;20070101; 1.925 ; 22,94 ;;;;;;;;;;
AT13;90400;90400;2007;20070101; 623 ; 20,64 ;;;;;;;;;;
AT13;90500;90500;2007;20070101; 973 ; 18,61 ;;;;;;;;;;
AT13;90600;90600;2007;20070101; 607 ; 20,60 ;;;;;;;;;;
AT13;90700;90700;2007;20070101; 562 ; 18,76 ;;;;;;;;;;
AT13;90800;90800;2007;20070101; 465 ; 19,69 ;;;;;;;;;;
AT13;90900;90900;2007;20070101; 815 ; 20,81 ;;;;;;;;;;
AT13;91000;91000;2007;20070101; 4.975 ; 29,37 ;;;;;;;;;;
AT13;91100;91100;2007;20070101; 3.166 ; 38,19 ;;;;;;;;;;
AT13;91200;91200;2007;20070101; 2.364 ; 27,81 ;;;;;;;;;;
AT13;91300;91300;2007;20070101; 1.948 ; 37,97 ;;;;;;;;;;
AT13;91400;91400;2007;20070101; 2.744 ; 32,96 ;;;;;;;;;;
AT13;91500;91500;2007;20070101; 1.256 ; 17,88 ;;;;;;;;;;
AT13;91600;91600;2007;20070101; 2.007 ; 21,38 ;;;;;;;;;;
AT13;91700;91700;2007;20070101; 1.365 ; 25,94 ;;;;;;;;;;
AT13;91800;91800;2007;20070101; 1.359 ; 28,71 ;;;;;;;;;;
AT13;91900;91900;2007;20070101; 2.549 ; 37,58 ;;;;;;;;;;
AT13;92000;92000;2007;20070101; 1.898 ; 23,23 ;;;;;;;;;;
AT13;92100;92100;2007;20070101; 6.077 ; 44,25 ;;;;;;;;;;
AT13;92200;92200;2007;20070101; 6.838 ; 45,87 ;;;;;;;;;;
AT13;92300;92300;2007;20070101; 3.757 ; 41,61 ;;;;;;;;;;
AT13;90000;90000;2008;20080101; 51.392 ; 30,75 ;;;;;;;;;;
AT13;90100;90100;2008;20080101; 511 ; 30,10 ;;;;;;;;;;
AT13;90200;90200;2008;20080101; 2.320 ; 24,82 ;;;;;;;;;;
AT13;90300;90300;2008;20080101; 1.950 ; 23,48 ;;;;;;;;;;
AT13;90400;90400;2008;20080101; 604 ; 19,96 ;;;;;;;;;;
AT13;90500;90500;2008;20080101; 986 ; 18,80 ;;;;;;;;;;
AT13;90600;90600;2008;20080101; 611 ; 20,76 ;;;;;;;;;;
AT13;90700;90700;2008;20080101; 558 ; 18,57 ;;;;;;;;;;
AT13;90800;90800;2008;20080101; 454 ; 19,15 ;;;;;;;;;;
AT13;90900;90900;2008;20080101; 817 ; 20,70 ;;;;;;;;;;
AT13;91000;91000;2008;20080101; 4.978 ; 29,09 ;;;;;;;;;;
AT13;91100;91100;2008;20080101; 3.210 ; 37,40 ;;;;;;;;;;
AT13;91200;91200;2008;20080101; 2.362 ; 27,55 ;;;;;;;;;;
AT13;91300;91300;2008;20080101; 1.887 ; 36,91 ;;;;;;;;;;
AT13;91400;91400;2008;20080101; 2.713 ; 32,39 ;;;;;;;;;;
AT13;91500;91500;2008;20080101; 1.237 ; 17,60 ;;;;;;;;;;
AT13;91600;91600;2008;20080101; 1.982 ; 21,04 ;;;;;;;;;;
AT13;91700;91700;2008;20080101; 1.372 ; 26,18 ;;;;;;;;;;
AT13;91800;91800;2008;20080101; 1.351 ; 28,46 ;;;;;;;;;;
AT13;91900;91900;2008;20080101; 2.545 ; 37,45 ;;;;;;;;;;
AT13;92000;92000;2008;20080101; 1.933 ; 23,67 ;;;;;;;;;;
AT13;92100;92100;2008;20080101; 6.274 ; 45,24 ;;;;;;;;;;
AT13;92200;92200;2008;20080101; 6.932 ; 45,92 ;;;;;;;;;;
AT13;92300;92300;2008;20080101; 3.805 ; 41,73 ;;;;;;;;;;
AT13;90000;90000;2009;20090101; 52.071 ; 30,99 ;;;;;;;;;;
AT13;90100;90100;2009;20090101; 513 ; 30,86 ;;;;;;;;;;
AT13;90200;90200;2009;20090101; 2.328 ; 24,81 ;;;;;;;;;;
AT13;90300;90300;2009;20090101; 1.981 ; 23,87 ;;;;;;;;;;
AT13;90400;90400;2009;20090101; 610 ; 20,10 ;;;;;;;;;;
